fleet_size,metric,difference,n,mean,standard_deviation,ci95_half_width,ci95_low,ci95_high
50,agent_work_fraction_final,distributed_minus_centralized,5,-0.05129955555555563,0.012225629666431878,0.015180124212180388,-0.06647967976773603,-0.036119431343375245
50,average_completion_time_s,distributed_minus_centralized,5,20.638603591009204,4.488933610793404,5.573747254849008,15.064856336160197,26.21235084585821
50,completion_rate,distributed_minus_centralized,5,-0.05663080140206742,0.009222623172081714,0.011451399161773684,-0.06808220056384111,-0.04517940224029374
50,full_active_fraction,distributed_minus_centralized,5,0.009528888888888854,0.001715679327717024,0.00213029725368867,0.007398591635200184,0.011659186142577525
50,full_idle_fraction,distributed_minus_centralized,5,-0.009528888888888854,0.001715679327717024,0.00213029725368867,-0.011659186142577525,-0.007398591635200184
50,full_navigating_fraction,distributed_minus_centralized,5,0.06071111111111109,0.012637861985144288,0.015691978241221646,0.04501913286988944,0.07640308935233274
50,full_working_fraction,distributed_minus_centralized,5,-0.05118222222222224,0.012128890110337503,0.015060006188175786,-0.06624222841039802,-0.03612221603404645
50,latency_p90_s,distributed_minus_centralized,5,58.27799999999998,10.092706277307352,12.531750028977699,45.74624997102228,70.80975002897767
50,post_warmup_active_fraction,distributed_minus_centralized,5,0.004805555555555574,0.001898870684523614,0.0023577593662175134,0.0024477961893380608,0.007163314921773087
50,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.004805555555555574,0.001898870684523614,0.0023577593662175134,-0.007163314921773087,-0.0024477961893380608
50,post_warmup_navigating_fraction,distributed_minus_centralized,5,0.05025555555555559,0.013588336956175607,0.016872148793945003,0.033383406761610585,0.06712770434950059
50,post_warmup_working_fraction,distributed_minus_centralized,5,-0.04545000000000001,0.01485796176390891,0.018448596208933823,-0.06389859620893383,-0.02700140379106619
50,throughput_tps,distributed_minus_centralized,5,-0.05644444444444445,0.010954451150103297,0.013601747613165108,-0.07004619205760956,-0.042842696831279344
100,agent_work_fraction_final,distributed_minus_centralized,5,-0.03759333333333341,0.013078405889759153,0.016238985747210038,-0.05383231908054345,-0.02135434758612337
100,average_completion_time_s,distributed_minus_centralized,5,16.015912707266004,4.467809242475599,5.547517887223993,10.468394820042011,21.563430594489997
100,completion_rate,distributed_minus_centralized,5,-0.04784109870253948,0.01519622965716806,0.018868611273741946,-0.06670970997628142,-0.02897248742879753
100,full_active_fraction,distributed_minus_centralized,5,0.013999999999999947,0.0021427454409451373,0.002660569871336832,0.011339430128663114,0.016660569871336777
100,full_idle_fraction,distributed_minus_centralized,5,-0.013999999999999947,0.0021427454409451373,0.002660569871336832,-0.016660569871336777,-0.011339430128663114
100,full_navigating_fraction,distributed_minus_centralized,5,0.05166666666666668,0.011947828977849986,0.014835189098492034,0.03683147756817465,0.06650185576515871
100,full_working_fraction,distributed_minus_centralized,5,-0.03766666666666674,0.013189792162272698,0.01637729007168422,-0.054043956738350954,-0.021289376594982517
100,latency_p90_s,distributed_minus_centralized,5,48.17200000000003,10.820562369858601,13.435502734971854,34.73649726502818,61.60750273497189
100,post_warmup_active_fraction,distributed_minus_centralized,5,0.007972222222222181,0.002827659760689427,0.0035110033240175393,0.004461218898204642,0.01148322554623972
100,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.007972222222222181,0.002827659760689427,0.0035110033240175393,-0.01148322554623972,-0.004461218898204642
100,post_warmup_navigating_fraction,distributed_minus_centralized,5,0.04534444444444443,0.01684053235775509,0.020910282739210088,0.024434161705234343,0.06625472718365452
100,post_warmup_working_fraction,distributed_minus_centralized,5,-0.03737222222222225,0.01938866354135213,0.024074205492582886,-0.06144642771480514,-0.013298016729639366
100,throughput_tps,distributed_minus_centralized,5,-0.08444444444444436,0.02729581888119606,0.03389223560627176,-0.11833668005071613,-0.0505522088381726
200,agent_work_fraction_final,distributed_minus_centralized,5,0.0031685555555555967,0.007332187195787788,0.009104112869100327,-0.005935557313544731,0.012272668424655924
200,average_completion_time_s,distributed_minus_centralized,5,1.3600789202954757,6.155993598830159,7.643675624840248,-6.283596704544772,9.003754545135724
200,completion_rate,distributed_minus_centralized,5,0.002599621100985261,0.010786660122676978,0.013393407535188227,-0.010793786434202965,0.01599302863617349
200,full_active_fraction,distributed_minus_centralized,5,0.01625999999999992,0.0025088989764584157,0.003115209534198694,0.013144790465801227,0.019375209534198613
200,full_idle_fraction,distributed_minus_centralized,5,-0.01625999999999992,0.0025088989764584157,0.003115209534198694,-0.019375209534198613,-0.013144790465801227
200,full_navigating_fraction,distributed_minus_centralized,5,0.013143333333333219,0.007374200521638456,0.009156279303253906,0.003987054030079313,0.022299612636587127
200,full_working_fraction,distributed_minus_centralized,5,0.0031166666666667007,0.007379257507230949,0.009162558380203538,-0.0060458917135368375,0.012279225046870238
200,latency_p90_s,distributed_minus_centralized,5,21.512000000000125,8.841304767962788,10.9779298275267,10.534070172473426,32.48992982752682
200,post_warmup_active_fraction,distributed_minus_centralized,5,0.00698055555555559,0.0009329803606695481,0.0011584481248745433,0.005822107430681046,0.008139003680430133
200,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.00698055555555559,0.0009329803606695481,0.0011584481248745433,-0.008139003680430133,-0.005822107430681046
200,post_warmup_navigating_fraction,distributed_minus_centralized,5,0.0020708333333333993,0.010495943008484037,0.013032434560833158,-0.01096160122749976,0.015103267894166557
200,post_warmup_working_fraction,distributed_minus_centralized,5,0.00490972222222219,0.010360123156279183,0.012863791940109035,-0.007954069717886845,0.017773514162331226
200,throughput_tps,distributed_minus_centralized,5,0.007555555555555582,0.03250261148102439,0.040357322523592386,-0.032801766968036807,0.047912878079147965
300,agent_work_fraction_final,distributed_minus_centralized,5,0.03854444444444446,0.006029570689720009,0.0074867008500499885,0.03105774359439447,0.046031145294494445
300,average_completion_time_s,distributed_minus_centralized,5,-26.15517779526786,7.078061283243741,8.788573872483706,-34.94375166775157,-17.366603922784154
300,completion_rate,distributed_minus_centralized,5,0.06450637853895673,0.017462958120077223,0.021683126399840016,0.04282325213911671,0.08618950493879675
300,full_active_fraction,distributed_minus_centralized,5,0.021012592592592628,0.0031699166774716283,0.003935971415722221,0.017076621176870407,0.02494856400831485
300,full_idle_fraction,distributed_minus_centralized,5,-0.021012592592592628,0.0031699166774716283,0.003935971415722221,-0.02494856400831485,-0.017076621176870407
300,full_navigating_fraction,distributed_minus_centralized,5,-0.017538518518518464,0.006040893224226178,0.007500759633514717,-0.025039278152033183,-0.010037758885003746
300,full_working_fraction,distributed_minus_centralized,5,0.03855111111111109,0.00604862294296582,0.007510357346989973,0.031040753764121118,0.046061468458101065
300,latency_p90_s,distributed_minus_centralized,5,-36.61599999999999,20.387617075077706,25.314570131288363,-61.930570131288356,-11.30142986871163
300,post_warmup_active_fraction,distributed_minus_centralized,5,0.009398148148148145,0.0013509795511404148,0.0016774626709605371,0.007720685477187608,0.011075610819108682
300,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.009398148148148145,0.0013509795511404148,0.0016774626709605371,-0.011075610819108682,-0.007720685477187608
300,post_warmup_navigating_fraction,distributed_minus_centralized,5,-0.030987037037037046,0.008177848202150699,0.01015413969538592,-0.041141176732422964,-0.020832897341651127
300,post_warmup_working_fraction,distributed_minus_centralized,5,0.04038518518518519,0.008086665264037562,0.010040921123880397,0.030344264061304794,0.05042610630906559
300,throughput_tps,distributed_minus_centralized,5,0.2582222222222222,0.0686672060388741,0.08526159759571024,0.17296062462651196,0.3434838198179324
