fleet_size,mode,seed,duration_s,warmup_s,step_interval_ms,sample_every_steps,layout_seed,layout_digest,stream_digest,stream_event_count,tasks_created,tasks_completed,tasks_active_end,completion_rate,throughput_tps,average_completion_time_s,latency_p90_s,agent_work_fraction_final,offered_work_fraction_nominal,offered_work_fraction_realized,wall_time_s,full_working_fraction,full_navigating_fraction,full_idle_fraction,full_active_fraction,full_mean_stuck_agents,full_sample_count,post_warmup_working_fraction,post_warmup_navigating_fraction,post_warmup_idle_fraction,post_warmup_active_fraction,post_warmup_mean_stuck_agents,post_warmup_sample_count,completed_nominal_work_fraction,configured_arrival_rate_tps,realized_arrival_rate_tps,arrival_rate_per_robot,tasks_active_end_per_robot,arrival_completion_gap_tps,completed_work_state_fraction,incomplete_task_work_fraction
50,centralized,42,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,64dfceb86b597f6d32457386eb8faab9eb710a426076f0da870a328fa3494329,858,858,760,98,0.8857808857808858,0.8444444444444444,104.78828947368422,169.03000000000006,0.7825577777777778,0.9,0.858,2.326577492058277,0.7822222222222224,0.18388888888888877,0.03388888888888886,0.9661111111111111,0.3244444444444444,900,0.8426388888888889,0.15133333333333343,0.006027777777777632,0.9939722222222224,0.2791666666666667,720,0.76,1.0,0.9533333333333334,0.02,1.96,0.10888888888888892,0.7616888888888889,0.020868888888888937
50,distributed,42,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,64dfceb86b597f6d32457386eb8faab9eb710a426076f0da870a328fa3494329,858,858,717,141,0.8356643356643356,0.7966666666666666,123.76304044630405,222.43999999999994,0.7382488888888887,0.9,0.858,35.8343340549618,0.7382888888888889,0.23602222222222224,0.025688888888888872,0.9743111111111111,0.5566666666666666,900,0.8078055555555556,0.19030555555555573,0.0018888888888887179,0.9981111111111113,0.5875,720,0.7170000000000001,1.0,0.9533333333333334,0.02,2.82,0.15666666666666673,0.7185933333333334,0.019655555555555315
50,centralized,43,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,4ecc1ea6339cabcdae302f5c67c34896b1e5ac618538d2cf5fc1f1672bc5ce09,941,941,792,149,0.8416578108395324,0.88,112.5467171717172,178.28,0.8168577777777777,0.9,0.941,2.6131599992513657,0.8163333333333334,0.1432444444444445,0.04042222222222214,0.9595777777777779,0.31555555555555553,900,0.8964166666666668,0.09594444444444439,0.007638888888888862,0.9923611111111111,0.18194444444444444,720,0.792,1.0,1.0455555555555556,0.02,2.98,0.16555555555555557,0.79376,0.02309777777777766
50,distributed,43,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,4ecc1ea6339cabcdae302f5c67c34896b1e5ac618538d2cf5fc1f1672bc5ce09,941,941,731,210,0.7768331562167906,0.8122222222222222,138.2607387140903,250.19999999999993,0.7511844444444443,0.9,0.941,47.526975467801094,0.7509555555555557,0.22071111111111097,0.02833333333333332,0.9716666666666667,0.4922222222222222,900,0.8402222222222223,0.15763888888888866,0.0021388888888890234,0.997861111111111,0.46111111111111114,720,0.731,1.0,1.0455555555555556,0.02,4.2,0.2333333333333334,0.7326244444444444,0.01855999999999991
50,centralized,44,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,3448a510a6e1cde568dc74749b5d663521c93ea768ff89f8ab476044bec77bb2,912,912,788,124,0.8640350877192983,0.8755555555555555,123.78946700507615,209.46000000000004,0.8145600000000001,0.9,0.912,2.406157599762082,0.8140000000000002,0.1511555555555555,0.034844444444444345,0.9651555555555557,0.29555555555555557,900,0.8883055555555556,0.10766666666666669,0.004027777777777741,0.9959722222222223,0.20833333333333334,720,0.7879999999999999,1.0,1.0133333333333334,0.02,2.48,0.1377777777777779,0.7897511111111111,0.02480888888888899
50,distributed,44,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,3448a510a6e1cde568dc74749b5d663521c93ea768ff89f8ab476044bec77bb2,912,912,727,185,0.7971491228070176,0.8077777777777778,141.36533700137554,259.6,0.75116,0.9,0.912,44.765122121199965,0.7506666666666666,0.22222222222222232,0.027111111111111086,0.9728888888888889,0.5955555555555555,900,0.8225277777777776,0.17533333333333356,0.0021388888888888014,0.9978611111111112,0.5666666666666667,720,0.727,1.0,1.0133333333333334,0.02,3.7,0.2055555555555556,0.7286155555555556,0.022544444444444478
50,centralized,45,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,e2de20cd9996afd0562d1c9fb2dc7033a43391a86f66dcfbfa48616ac8f7fe00,877,877,749,128,0.8540478905359179,0.8322222222222222,105.16742323097465,168.16000000000014,0.7694644444444444,0.9,0.877,2.479225056245923,0.7692222222222223,0.19600000000000006,0.034777777777777685,0.9652222222222223,0.5577777777777778,900,0.837,0.15513888888888894,0.007861111111111097,0.9921388888888889,0.38055555555555554,720,0.7489999999999999,1.0,0.9744444444444444,0.02,2.56,0.14222222222222225,0.7506644444444445,0.018799999999999928
50,distributed,45,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,e2de20cd9996afd0562d1c9fb2dc7033a43391a86f66dcfbfa48616ac8f7fe00,877,877,700,177,0.798175598631699,0.7777777777777778,130.24857142857144,234.2200000000001,0.7261511111111112,0.9,0.877,37.86210008710623,0.7261111111111112,0.24911111111111117,0.024777777777777676,0.9752222222222223,0.7355555555555555,900,0.7977500000000002,0.19999999999999996,0.0022499999999998632,0.9977500000000001,0.7680555555555556,720,0.7,1.0,0.9744444444444444,0.02,3.54,0.19666666666666666,0.7015555555555557,0.02459555555555548
50,centralized,46,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,91f4183925ddd6164ba70fc9a55a240e1281d74635cd71a9d8b39b2ec7f1e7c3,880,880,759,121,0.8625,0.8433333333333334,111.07140974967064,178.8,0.781568888888889,0.9,0.88,2.626239076256752,0.7814,0.17666666666666675,0.04193333333333327,0.9580666666666667,0.48444444444444446,900,0.8580555555555557,0.13316666666666666,0.008777777777777662,0.9912222222222223,0.3138888888888889,720,0.759,1.0,0.9777777777777777,0.02,2.42,0.13444444444444437,0.7606866666666667,0.020882222222222246
50,distributed,46,900.0,180.0,100,10,10050,9d315ccbacebf48391a2dc4e8e4bd32e8e84b5dda5c3ccc2d12f1776dd339486,91f4183925ddd6164ba70fc9a55a240e1281d74635cd71a9d8b39b2ec7f1e7c3,880,880,719,161,0.8170454545454545,0.7988888888888889,126.91863699582754,228.66000000000014,0.7417666666666665,0.9,0.88,37.039610866457224,0.7412444444444446,0.22644444444444434,0.03231111111111107,0.9676888888888889,0.5288888888888889,900,0.8268611111111112,0.17125000000000012,0.0018888888888887179,0.9981111111111113,0.5041666666666667,720,0.7189999999999999,1.0,0.9777777777777777,0.02,3.22,0.17888888888888888,0.7205977777777778,0.02116888888888868
