fleet_size,mode,metric,n,mean,standard_deviation,ci95_half_width,ci95_low,ci95_high
50,centralized,agent_work_fraction_final,5,0.7930017777777778,0.0213755691513281,0.026541274656319138,0.7664605031214586,0.819543052434097
50,centralized,arrival_completion_gap_tps,5,0.1377777777777778,0.020230157173370136,0.025119057840177372,0.11265871993760043,0.16289683561795518
50,centralized,average_completion_time_s,5,111.47266132622458,7.704789994190935,9.566760349507492,101.90590097671709,121.03942167573207
50,centralized,completed_nominal_work_fraction,5,0.7695999999999998,0.019165072397463068,0.02379658041889864,0.7458034195811012,0.7933965804188985
50,centralized,completed_work_state_fraction,5,0.7713102222222222,0.019207661447235173,0.023849461708718368,0.7474607605135039,0.7951596839309406
50,centralized,completion_rate,5,0.8616043349751269,0.0161723534253539,0.0200806290144893,0.8415237059606376,0.8816849639896162
50,centralized,full_active_fraction,5,0.9628266666666667,0.003713585336219258,0.004611025216240882,0.9582156414504258,0.9674376918829076
50,centralized,full_idle_fraction,5,0.03717333333333326,0.003713585336219258,0.004611025216240882,0.032562308117092376,0.041784358549574144
50,centralized,full_navigating_fraction,5,0.17019111111111113,0.022271820206454657,0.027654117324821925,0.1425369937862892,0.19784522843593305
50,centralized,full_working_fraction,5,0.7926355555555558,0.02121840919788498,0.026346134800169438,0.7662894207553863,0.8189816903557252
50,centralized,incomplete_task_work_fraction,5,0.021691555555555554,0.0023123647241047643,0.002871180028637271,0.018820375526918284,0.024562735584192825
50,centralized,latency_p90_s,5,180.74600000000004,16.807988576864254,20.869874298112506,159.87612570188753,201.61587429811254
50,centralized,offered_work_fraction_nominal,5,0.9,0.0,0.0,0.9,0.9
50,centralized,offered_work_fraction_realized,5,0.8936,0.03283747858773568,0.040773114954178465,0.8528268850458215,0.9343731149541784
50,centralized,post_warmup_active_fraction,5,0.9931333333333333,0.0018708699369511606,0.0023229918460340067,0.9908103414872993,0.9954563251793673
50,centralized,post_warmup_idle_fraction,5,0.006866666666666599,0.0018708699369511604,0.0023229918460340063,0.004543674820632592,0.009189658512700606
50,centralized,post_warmup_navigating_fraction,5,0.12865000000000001,0.026203762923634213,0.03253626903974328,0.09611373096025674,0.16118626903974329
50,centralized,post_warmup_working_fraction,5,0.8644833333333335,0.02674446550569269,0.0332076399696211,0.8312756933637124,0.8976909733029546
50,centralized,tasks_active_end,5,124.0,18.207141456033124,22.607152056159638,101.39284794384037,146.60715205615963
50,centralized,tasks_active_end_per_robot,5,2.48,0.3641428291206625,0.4521430411231927,2.027856958876807,2.932143041123193
50,centralized,throughput_tps,5,0.8551111111111112,0.02129452488607005,0.026440644909887342,0.8286704662012239,0.8815517560209984
50,distributed,agent_work_fraction_final,5,0.7417022222222222,0.010405873578814558,0.01292059859267382,0.7287816236295483,0.754622820814896
50,distributed,arrival_completion_gap_tps,5,0.19422222222222224,0.02876469028874477,0.03571608035101588,0.15850614187120637,0.2299383025732381
50,distributed,average_completion_time_s,5,132.11126491723377,7.476291555587897,9.283042064648326,122.82822285258544,141.3943069818821
50,distributed,completed_nominal_work_fraction,5,0.7188,0.01196662024132128,0.014858521533825102,0.7039414784661749,0.733658521533825
50,distributed,completed_work_state_fraction,5,0.7203973333333334,0.011993212730746362,0.01489154047056684,0.7055057928627666,0.7352888738039003
50,distributed,completion_rate,5,0.8049735335730596,0.02228772515324054,0.0276738659246393,0.7772996676484203,0.8326473994976988
50,distributed,full_active_fraction,5,0.9723555555555556,0.0029401855992479036,0.003650722606623289,0.9687048329489324,0.9760062781621789
50,distributed,full_idle_fraction,5,0.027644444444444406,0.002940185599247904,0.0036507226066232897,0.023993721837821117,0.0312951670510677
50,distributed,full_navigating_fraction,5,0.2309022222222222,0.011798844890104365,0.014650200920433067,0.21625202130178914,0.24555242314265527
50,distributed,full_working_fraction,5,0.7414533333333335,0.010254497357227355,0.012732640188144875,0.7287206931451886,0.7541859735214784
50,distributed,incomplete_task_work_fraction,5,0.021304888888888773,0.002378980692608224,0.0029538946784334933,0.01835099421045528,0.024258783567322265
50,distributed,latency_p90_s,5,239.02400000000003,15.441783575740185,19.17350673405081,219.8504932659492,258.1975067340508
50,distributed,offered_work_fraction_nominal,5,0.9,0.0,0.0,0.9,0.9
50,distributed,offered_work_fraction_realized,5,0.8936,0.03283747858773568,0.040773114954178465,0.8528268850458215,0.9343731149541784
50,distributed,post_warmup_active_fraction,5,0.9979388888888889,0.00016362973861142434,0.00020317315546929837,0.9977357157334197,0.9981420620443582
50,distributed,post_warmup_idle_fraction,5,0.002061111111111025,0.00016362973861142434,0.00020317315546929837,0.0018579379556417266,0.0022642842665803234
50,distributed,post_warmup_navigating_fraction,5,0.1789055555555556,0.016572379129141418,0.020577326529238386,0.1583282290263172,0.19948288208479398
50,distributed,post_warmup_working_fraction,5,0.8190333333333333,0.016594408176131153,0.02060467920380028,0.798428654129533,0.8396380125371335
50,distributed,tasks_active_end,5,174.8,25.888221259870292,32.14447231591429,142.6555276840857,206.9444723159143
50,distributed,tasks_active_end_per_robot,5,3.4959999999999996,0.5177644251974058,0.6428894463182859,2.853110553681714,4.138889446318285
50,distributed,throughput_tps,5,0.7986666666666666,0.013296244712579185,0.016509468370916762,0.7821571982957499,0.8151761350375833
100,centralized,agent_work_fraction_final,5,0.7185864444444444,0.02069328517856659,0.025694107210789734,0.6928923372336547,0.7442805516552341
100,centralized,arrival_completion_gap_tps,5,0.20933333333333337,0.017331196449477147,0.021519522677112716,0.18781381065622066,0.23085285601044608
100,centralized,average_completion_time_s,5,112.45712647375755,3.9773307327060947,4.938508379750566,107.518618094007,117.39563485350811
100,centralized,completed_nominal_work_fraction,5,0.6980000000000001,0.01986831648630555,0.024669773285963956,0.6733302267140361,0.722669773285964
100,centralized,completed_work_state_fraction,5,0.6995511111111112,0.019912468300719525,0.024724595004377164,0.674826516106734,0.7242757061154884
100,centralized,completion_rate,5,0.8809729221044851,0.011461294713046152,0.014231077017992574,0.8667418450864925,0.8952039991224776
100,centralized,full_active_fraction,5,0.9541711111111113,0.0024334550958880624,0.003021533583809702,0.9511495775273016,0.957192644694921
100,centralized,full_idle_fraction,5,0.04582888888888879,0.0024334550958880624,0.003021533583809702,0.042807355305079085,0.04885042247269849
100,centralized,full_navigating_fraction,5,0.23592000000000007,0.021224530706324272,0.026353735656813204,0.20956626434318687,0.2622737356568133
100,centralized,full_working_fraction,5,0.7182511111111112,0.02087781710125796,0.025923233855714926,0.6923278772553962,0.7441743449668261
100,centralized,incomplete_task_work_fraction,5,0.01903533333333336,0.0011511905806973787,0.0014293918991232228,0.017605941434210137,0.02046472523245658
100,centralized,latency_p90_s,5,182.43800000000002,11.727136052762424,14.561162638752528,167.87683736124748,196.99916263875255
100,centralized,offered_work_fraction_nominal,5,0.7875,0.0,0.0,0.7875,0.7875
100,centralized,offered_work_fraction_realized,5,0.7922,0.014078352176302466,0.017480583051348416,0.7747194169486517,0.8096805830513484
100,centralized,post_warmup_active_fraction,5,0.9898944444444446,0.0028430626797934745,0.00353012857413628,0.9863643158703084,0.9934245730185809
100,centralized,post_warmup_idle_fraction,5,0.010105555555555456,0.0028430626797934745,0.00353012857413628,0.006575426981419176,0.013635684129691737
100,centralized,post_warmup_navigating_fraction,5,0.1812611111111112,0.027569686536860476,0.03423228721458273,0.1470288238965285,0.21549339832569392
100,centralized,post_warmup_working_fraction,5,0.8086333333333332,0.0300664477593247,0.03733242573662778,0.7713009075967054,0.845965759069961
100,centralized,tasks_active_end,5,188.4,15.59807680452946,19.36757040940148,169.03242959059853,207.7675704094015
100,centralized,tasks_active_end_per_robot,5,1.884,0.15598076804529465,0.19367570409401486,1.690324295905985,2.077675704094015
100,centralized,throughput_tps,5,1.551111111111111,0.04415181441401229,0.05482171841325319,1.496289392697858,1.6059328295243642
100,distributed,agent_work_fraction_final,5,0.680993111111111,0.012130205829118881,0.015061639868818385,0.6659314712422927,0.6960547509799294
100,distributed,arrival_completion_gap_tps,5,0.29377777777777775,0.01558726925933349,0.019354151069622683,0.27442362670815507,0.31313192884740043
100,distributed,average_completion_time_s,5,128.47303918102358,4.076471156706264,5.061607474998232,123.41143170602535,133.5346466560218
100,distributed,completed_nominal_work_fraction,5,0.66,0.012995191418367026,0.01613566133395288,0.6438643386660472,0.6761356613339529
100,distributed,completed_work_state_fraction,5,0.6614666666666666,0.01302406962151893,0.016171518359139412,0.6452951483075272,0.6776381850258061
100,distributed,completion_rate,5,0.8331318234019454,0.008148565980385407,0.010117781014832539,0.8230140423871128,0.8432496044167779
100,distributed,full_active_fraction,5,0.9681711111111111,0.001864211348162275,0.002314724116056004,0.965856386995055,0.9704858352271671
100,distributed,full_idle_fraction,5,0.03182888888888884,0.001864211348162275,0.002314724116056004,0.029514164772832835,0.03414361300494484
100,distributed,full_navigating_fraction,5,0.28758666666666677,0.013599258785175528,0.016885710035808743,0.270700956630858,0.3044723767024755
100,distributed,full_working_fraction,5,0.6805844444444444,0.012152555490030617,0.015089390638144549,0.6654950538062999,0.695673835082589
100,distributed,incomplete_task_work_fraction,5,0.019526444444444402,0.0011876154654715926,0.0014746193671860849,0.01805182507725832,0.021001063811630485
100,distributed,latency_p90_s,5,230.61000000000004,4.490779442368564,5.576039157462632,225.0339608425374,236.1860391574627
100,distributed,offered_work_fraction_nominal,5,0.7875,0.0,0.0,0.7875,0.7875
100,distributed,offered_work_fraction_realized,5,0.7922,0.014078352176302466,0.017480583051348416,0.7747194169486517,0.8096805830513484
100,distributed,post_warmup_active_fraction,5,0.9978666666666667,7.581857813302832e-05,9.41411988627806e-05,0.9977725254678039,0.9979608078655294
100,distributed,post_warmup_idle_fraction,5,0.002133333333333276,7.581857813302832e-05,9.41411988627806e-05,0.0020391921344704955,0.002227474532196057
100,distributed,post_warmup_navigating_fraction,5,0.22660555555555564,0.016418689361197652,0.020386495477490323,0.2062190600780653,0.24699205103304597
100,distributed,post_warmup_working_fraction,5,0.7712611111111111,0.016429400259937464,0.02039979481484395,0.7508613162962671,0.7916609059259551
100,distributed,tasks_active_end,5,264.4,14.028542333400145,17.41873596266042,246.98126403733954,281.8187359626604
100,distributed,tasks_active_end_per_robot,5,2.644,0.1402854233340015,0.17418735962660428,2.4698126403733958,2.8181873596266045
100,distributed,throughput_tps,5,1.4666666666666663,0.028878203151926757,0.03585702518656199,1.4308096414801044,1.5025236918532283
200,centralized,agent_work_fraction_final,5,0.6002556666666667,0.0144425713710766,0.017932820912954225,0.5823228457537125,0.618188487579621
200,centralized,arrival_completion_gap_tps,5,0.4297777777777778,0.03769926481910806,0.04680981988463631,0.38296795789314153,0.4765875976624141
200,centralized,average_completion_time_s,5,127.3361952662065,4.207817577729306,5.224695597275457,122.11149966893105,132.56089086348197
200,centralized,completed_nominal_work_fraction,5,0.5822,0.013521279525252068,0.016788885996155207,0.5654111140038448,0.5989888859961553
200,centralized,completed_work_state_fraction,5,0.5834937777777778,0.013551326813085976,0.01682619463170224,0.5666675831460756,0.60031997240948
200,centralized,completion_rate,5,0.857565529213676,0.012066476568706014,0.014982509540531574,0.8425830196731444,0.8725480387542076
200,centralized,full_active_fraction,5,0.9452611111111111,0.0036227355634882875,0.004498220324195842,0.9407628907869152,0.949759331435307
200,centralized,full_idle_fraction,5,0.054738888888888934,0.0036227355634882875,0.004498220324195842,0.05024066856469309,0.059237109213084775
200,centralized,full_navigating_fraction,5,0.34524222222222223,0.015441760158418574,0.01917347765760563,0.3260687445646166,0.36441569987982786
200,centralized,full_working_fraction,5,0.6000188888888889,0.014453668315613802,0.01794659958947613,0.5820722892994128,0.617965488478365
200,centralized,incomplete_task_work_fraction,5,0.016761888888888854,0.0019869809517127214,0.002467162712858343,0.01429472617603051,0.019229051601747198
200,centralized,latency_p90_s,5,218.30800000000005,8.447687257468756,10.489189135683667,207.8188108643164,228.7971891356837
200,centralized,offered_work_fraction_nominal,5,0.675,0.0,0.0,0.675,0.675
